header,class,mechanism,group,database
Bla|OXA-2_1_GQ466184|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OxA-116|EU220744|1-786|786|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|591389171|gb|KJ135346.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|TEM-12|M88143|368-1228|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|OXA-335_1_KF203109|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|IMI-2|JN412066|2891-3769|879|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI,megares
gi|595583477|gb|KF992026.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
Bla|AY248038.1|gene4|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
Bla|CTX-M-11|AY005110|254-1402|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
1329|EF653400.1|EF653400|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|OxY4-1|AY077481|125-1057|934|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
gi|304650979|gb|HQ122933.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1271|AF167990.3|AF167990|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX,megares
CARD|phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB,Multi-drug resistance,Multi-drug efflux pumps,MDTB,megares
gi|40888715|gb|AY494717.1|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
CARD|phgb|CP004067|43007-43928|ARO:3002669|APH2-DPRIME-Ig|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,megares
Flq|CP000675.2|gene1514|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
CARD|phgb|X80277|0-1149|ARO:3003553|CepS|betalactams|Class_C_betalactamases|CEPS,betalactams,Class C betalactamases,CEPS,megares
gi|15149329|gb|AF397068.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
825|S52438.1|S52438|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR,megares
MLS|LmrB|X62867|361-1197|837|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB,megares
Mdr|NC_011586.7046391|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEA,Multi-drug resistance,Multi-drug efflux pumps,ADEA,megares
Bla|CMY-18|AY743434|47-1198|1152|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
AGly|strA_5_AF321550|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
CARD|phgb|AF079138|153-1122|ARO:3000598|Erm31|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM,megares
Sul|sul1_33_AJ564903|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Elf|CP000647.1|gene4394|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
Gly|VanR-D_2_AF175293|Glycopeptides|VanD-type_regulator|VANRD,Glycopeptides,VanD-type regulator,VANRD,megares
Elf|HE999704.1|gene2984|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
CARD|phgb|FJ872411|43513-44203|ARO:3002924|vanRE|Glycopeptides|VanE-type_regulator|VANRE,Glycopeptides,VanE-type regulator,VANRE,megares
gi|12484390|gb|AF252623.2|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|160948432|emb|AM176546.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
MLS|L22689.1|gene1|MLS|23S_rRNA_methyltransferases|ERMQ,MLS,23S rRNA methyltransferases,ERMQ,megares
gi|544207415|gb|KF203108.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|HERA-2|AF398334|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA,megares
AGly|Aac6-Aph2|M13771|304-1743|1440|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|GES-22|JX023441|38-901|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
1234|AY139598.1|AY139598|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Flq|NC_002952.2859949|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Bla|LEN-4|AY130287|1-823|823|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
295|AF211348.1|AF211348|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|430804550|gb|KC149518.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|AF072684|117-993|ARO:3001075|SHV-16|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|161367443|gb|EU274581.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|NC_003923.1003354|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
Bla|SHV-2_1_GQ407116|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
202|DQ195535.2|DQ195535|MLS|Macrolide_glycosyltransferases|OLEI,MLS,Macrolide glycosyltransferases,OLEI,megares
gi|294997088|dbj|AB529520.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND,megares
CARD|phgb|JF802084|559-1591|ARO:3002912|vanN|Glycopeptides|VanN-type_resistance_protein|VANN,Glycopeptides,VanN-type resistance protein,VANN,megares
CARD|phgb|AL513383|161910-162771|ARO:3000873|TEM-1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|17026025|dbj|AB074436.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
CARD|phgb|AJ584701|10-562|ARO:3002590|AAC6-PRIME-Iih|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|591389145|gb|KF986255.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|IBC-2|AF329699|373-1236|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
Bla|NC_010410|1184557-1185747|1191|betalactams|Class_C_betalactamases|ADC,betalactams,Class C betalactamases,ADC,megares
CARD|phgb|KM401566|1211-2033|ARO:3003117|OXA-421|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1009|AF031326.1|AF031326|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
63|DQ516954.1|DQ516954|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA,megares
Bla|SHV-71_2_DQ296194|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|6606273|gb|AF157553.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
MLS|TlrC|NC_016113|803268-384890|1623|MLS|ABC_transporter|TLRC,MLS,ABC transporter,TLRC,megares
CARD|phgb|FJ483516.1|0-252|ARO:3000860|rmtB|Aminoglycosides|16S_rRNA_methyltransferases|RMTB,Aminoglycosides,16S rRNA methyltransferases,RMTB,megares
933|AB164230.1|AB164230|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
gi|573006828|gb|KF900153.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|43935|emb|X55640.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
385|AB016934.1|AB016934|Fosfomycin|Fosfomycin_phosphorylation|FOMA,Fosfomycin,Fosfomycin phosphorylation,FOMA,megares
gi|338173766|gb|HQ661363.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|48527203|gb|AY628199.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Rif|NC_002745.1123305|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
CARD|phgb|AF441287|260-1007|ARO:3000844|TUS-1|betalactams|Class_B_betalactamases|TUS,betalactams,Class B betalactamases,TUS,megares
533|Y17896.1|Y17896|betalactams|Class_B_betalactamases|FEZ,betalactams,Class B betalactamases,FEZ,megares
CARD|pvgb|NC_002516|4767810-4769004|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
CARD|phgb|U00096|1124117-1125326|ARO:3001216|mdtH|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTH,Multi-drug resistance,Multi-drug efflux pumps,MDTH,megares
Bla|GES-20|JN596280|2848-3711|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
1875|U37105.2|XXU37105|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|AY077483.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Tmt|Dfr16|AF077008|115-558|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
CARD|phgb|EU408359|3791-4694|ARO:3002513|LRA-19|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
Bla|TEM-80|AF347054|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Fos|fosA_5_NZ_AEXB01000013|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA,megares
Flq|QnrB21|FJ611948|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Sul|NC_011586.7045179|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
932|L06157.1|PSEAAC3IB|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME,megares
Bla|FJ666069.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC,megares
Bla|OXY2-3|AY077488|162-1031|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Bla|SHV-73|AM176548|17-874|858|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|IMP-28|HQ263342|1-741|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|343480073|gb|JF274247.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Tet|AM180355.1|gene636|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,megares
CARD|phgb|NC_010410|3676915-3677389|ARO:3002854|dfrA1|Trimethoprim|Dihydrofolate_reductase|DFRA,Trimethoprim,Dihydrofolate reductase,DFRA,megares
gi|698174199|gb|KM087854.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
CARD|phgb|KC544262|665-1424|ARO:3003198|rmtH|Aminoglycosides|16S_rRNA_methyltransferases|RMTH,Aminoglycosides,16S rRNA methyltransferases,RMTH,megares
Bla|AJ746225.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|SHV-11_15_DQ219473|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CTX-M-47|AY847143|83-958|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Sul|sul3_5_AB281182|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
199|AY566250.1|AY566250|Fluoroquinolones|Quinolone_active_efflux|NORA,Fluoroquinolones,Quinolone active efflux,NORA,megares
Bla|OXY2-5|AY077487.2|180-1049|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
gi|698174159|gb|KM087834.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
458|AF310956.2|AF310956|Glycopeptides|VanB-type_resistance_protein|VANXB,Glycopeptides,VanB-type resistance protein,VANXB,megares
Sul|sul2_14_AJ514834|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
Bla|CMY-4|AF420597|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|45771831|emb|AJ632249.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|ROB-1|AF022114|303-1220|918|betalactams|Class_A_betalactamases|ROB,betalactams,Class A betalactamases,ROB,megares
Bla|IMI-3|GU015024|1-879|879|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI,megares
Gly|VanTc|DQ022190|1802-3898|2097|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC,megares
gi|16798373|gb|AF427129.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Flq|CP001138.1|gene3329|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
Bla|LEN-24|AM850914|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
CARD|phgb|JQ768046|7760-9440|ARO:3001313|facT|Elfamycins|Elfamycin_efflux_pumps|FACT,Elfamycins,Elfamycin efflux pumps,FACT,megares
Bla|cfxA6|GQ342996|798-1793|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX,megares
CARD|phgb|AP009048|1191352-1192024|ARO:3000834|phoP|Multi-drug_resistance|Multi-drug_efflux_pumps|PHOP|RequiresSNPConfirmation,Multi-drug resistance,Multi-drug efflux pumps,PHOP,megares
CARD|phgb|EU408358|27458-28439|ARO:3002483|LRA-5|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
Gly|VanT-N_1_JF802084|Glycopeptides|VanN-type_resistance_protein|VANTN,Glycopeptides,VanN-type resistance protein,VANTN,megares
Bla|VIM-28|JF900599|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
CARD|phgb|AL009126|339155-339749|ARO:3003059|tmrB|Tunicamycin|ATP-binding_tunicamycin_resistance|TMRB,Tunicamycin,ATP-binding tunicamycin resistance,TMRB,megares
AGly|AadK-Pm|CP002869|4442322-4441435|888|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,megares
gi|557477790|gb|KF460532.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1727|AY162283.2|AY162283|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
1656|AY920928.1|AY920928|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,megares
gi|84782428|gb|DQ335566.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AY700571|0-879|ARO:3002314|KPC-4|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
gi|698174221|gb|KM087865.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Gly|VanX-M|FJ349556|5894-6502|609|Glycopeptides|VanM-type_resistance_protein|VANXM,Glycopeptides,VanM-type resistance protein,VANXM,megares
Bla|OXA-232_1_JX423831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1306|AM412777.1|AM412777|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|556904155|gb|KF421161.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|Aph6-I|X01702|485-1285|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,megares
Bla|OXA-141|EF552405|13-840|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Tet|tetM_9_X56353|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,megares
Bla|OXY1-4|AY077483|183-1055|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Bla|OKP-A-3|AM051140|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
CARD|phgb|AF326777|23980-24640|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT,Phenicol,Chloramphenicol acetyltransferases,CAT,megares
Bla|SHV-77_1_EF373975|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|557477792|gb|KF460533.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|TEM-2|AY529705|167-1027|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|401871166|gb|JX121121.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|QnrA4|DQ058662|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA,megares
CARD|pvgb|FQ312006|705198-706383|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
CARD|phgb|JN086160|1582-2407|ARO:3001777|OXA-347|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
AGly|Aac3-Ik|BX571856|765853-766296|444|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,megares
Tet|tet33_3_DQ390458|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET33,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET33,megares
AGly|M26879|gene|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,megares
Bla|OXA-106|EF650032|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1181|X91840.1|X91840|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
CARD|phgb|JN969893|0-873|ARO:3001990|CTX-M-131|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
ACou|AF329398.1|gene37|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|gyrB|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,megares
CARD|phgb|JX514369|296-1442|ARO:3002108|CMY-95|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Fos|fosA_15_CP002889|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA,megares
CARD|phgb|U00096|1188315-1189776|ARO:3000835|phoQ|Multi-drug_resistance|MDR_regulator|PHOQ,Multi-drug resistance,MDR regulator,PHOQ,megares
CARD|phgb|NC_003197|400859-401324|ARO:3000504|golS|Multi-drug_resistance|MDR_regulator|GOLS,Multi-drug resistance,MDR regulator,GOLS,megares
MLS|MsrD|AF274302|2462-3925|1464|MLS|Macrolide_resistance_efflux_pumps|MSRD,MLS,Macrolide resistance efflux pumps,MSRD,megares
gi|2970344|gb|AF047171.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|TLA-1_1_AF148067|betalactams|Class_A_betalactamases|TLA,betalactams,Class A betalactamases,TLA,megares
ACou|NC_003923.1003353|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
AGly|Aph3-VIb|AJ627643|4934-5713|780|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,megares
gi|752115649|gb|KM926621.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT,megares
AGly|StrA|AB366441|22458-23261|804|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
gi|378829040|gb|JQ388884.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CTX-M-2|EF592570|5803-6678|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|296951|emb|X65252.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|17026019|dbj|AB074433.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
CARD|phgb|AJ250876|36-987|ARO:3000851|THIN-B|betalactams|Class_B_betalactamases|THINB,betalactams,Class B betalactamases,THINB,megares
Flq|QnrS2|DQ485530|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS,megares
1906|AJ584652.2|AJ584652|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
CARD|phgb|BA000032|476707-477559|ARO:3003151|CARB-22|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
Bla|MOX-1|D13304|233-1381|1159|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX,megares
gi|666914763|gb|KJ776406.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
MLS|EreB|X03988|383-1642|1260|MLS|Macrolide_esterases|EREB,MLS,Macrolide esterases,EREB,megares
Bla|SHV-28_3_AF299299|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|OXA-97|EF102240|11723-12565|843|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-55|HQ877613|1-715|715|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|QnrB29|HM439649|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
1175|AF317511.1|AF317511|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|KF478993|6002-6704|ARO:3002930|vanRO|Glycopeptides|VanO-type_regulator|VANRO,Glycopeptides,VanO-type regulator,VANRO,megares
Bla|TEM-193|JN935135|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Sul|sul2_11_AY232670|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
Bla|PSE-4|AF313471|1422-2288|867|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
gi|84105058|gb|DQ322460.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|CTX-M-95|FN813245|1912-2787|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
AGly|AadA24|HQ123586|88-768|781|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
Bla|AF336096.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,betalactams,Mutant porin proteins,OMP36,megares
Bla|ampH_2_HQ586946|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|401871170|gb|JX121123.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Tmt|DfrA21|AY552589|1-498|498|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR,megares
59|EF540343.1|EF540343|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT4-PRIME,megares
Bla|GES-7_1_HM453325|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
gi|315227434|gb|HQ322612.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA,megares
Mdr|oqxB_1_EU370913|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXB,Multi-drug resistance,Multi-drug efflux pumps,OQXB,megares
MLS|ermD_2_L08389|MLS|23S_rRNA_methyltransferases|ERMD,MLS,23S rRNA methyltransferases,ERMD,megares
Bla|CTX-M-78|AM982522|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|46401609|dbj|AB177384.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
